Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_2,Ast_2,G+A_2,G-PK_2,G+A-PK,xG_2,xAG_2,xG+xAG_2,npxG_2,npxG+xAG_2,Matches
82,Cicinho,bg BUL,MF,Bahia,35-143,1988,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
83,José Cifuentes,ec ECU,MF,Cruzeiro,25-066,1999,3,1,69,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,3,8,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Matches
84,Claudinho,br BRA,DF,Criciúma,23-236,2000,3,3,242,2.7,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.3,4,8,9,0.00,0.00,0.00,0.00,0.00,0.01,0.08,0.09,0.01,0.09,Matches
85,Clayson,br BRA,MF,Cuiabá,29-059,1995,4,3,179,2.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,8,10,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches
86,Clayton,br BRA,FW,Vasco da Gama,25-127,1999,4,0,52,0.6,0,0,0,0,0,0,0,0,0.7,0.7,0.0,0.7,1,0,5,0.00,0.00,0.00,0.00,0.00,1.15,0.00,1.15,1.15,1.15,Matches
87,Mateus Cocão,br BRA,MF,Vasco da Gama,22-060,2002,6,4,284,3.2,1,0,1,1,0,0,2,0,0.4,0.4,0.0,0.4,3,20,6,0.32,0.00,0.32,0.32,0.32,0.11,0.00,0.11,0.11,0.11,Matches
88,Igor Coronado,br BRA,"MF,FW",Corinthians,31-273,1992,4,2,178,2.0,0,0,0,0,0,0,0,0,0.1,0.1,0.4,0.5,8,11,10,0.00,0.00,0.00,0.00,0.00,0.03,0.22,0.25,0.03,0.25,Matches
89,Diego Costa,es ESP,FW,Grêmio,35-223,1988,2,2,116,1.3,0,0,0,0,0,0,0,1,0.1,0.1,0.0,0.1,1,3,6,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches
90,Douglas Costa,br BRA,FW,Fluminense,33-246,1990,5,1,164,1.8,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.3,7,9,16,0.00,0.00,0.00,0.00,0.00,0.03,0.14,0.17,0.03,0.17,Matches
91,Franco Cristaldo,ar ARG,MF,Grêmio,27-276,1996,4,3,277,3.1,2,0,2,2,0,0,0,0,0.4,0.4,0.3,0.7,5,22,15,0.65,0.00,0.65,0.65,0.65,0.13,0.10,0.22,0.13,0.22,Matches
92,Alejo Cruz,uy URU,MF,Atl Goianiense,23-259,2000,4,3,153,1.7,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,2,8,16,0.00,0.00,0.00,0.00,0.00,0.10,0.06,0.16,0.10,0.16,Matches
93,Tomás Cuello,ar ARG,"FW,MF",Ath Paranaense,24-073,2000,6,6,343,3.8,0,0,0,0,0,0,0,0,0.4,0.4,0.3,0.7,11,11,26,0.00,0.00,0.00,0.00,0.00,0.10,0.07,0.17,0.10,0.17,Matches
94,Víctor Cuesta,ar ARG,DF,Bahia,35-180,1988,3,3,239,2.7,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,0,7,1,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,Matches
95,Cuiabano,br BRA,DF,Grêmio,21-091,2003,2,2,163,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,10,5,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
96,Cuiabano,br BRA,DF,Botafogo (RJ),21-091,2003,2,1,135,1.5,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,4,0,25,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.10,0.10,0.10,Matches
97,Lucas Cunha,br BRA,DF,Red Bull Bragantino,27-115,1997,2,0,29,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
98,Danielzinho,br BRA,MF,Atl Goianiense,28-127,1996,1,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
99,David,br BRA,FW,Vasco da Gama,28-213,1995,6,6,514,5.7,1,1,2,1,0,0,1,0,0.9,0.9,0.8,1.8,17,15,48,0.18,0.18,0.35,0.18,0.35,0.17,0.15,0.31,0.17,0.31,Matches
100,Giorgian De Arrascaeta,uy URU,MF,Flamengo,29-351,1994,3,3,249,2.8,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,3,18,21,0.00,0.00,0.00,0.00,0.00,0.05,0.06,0.11,0.05,0.11,Matches
101,Nicolás De La Cruz,uy URU,MF,Flamengo,26-351,1997,6,5,449,5.0,2,2,4,2,0,0,1,0,1.4,1.4,1.5,2.9,8,45,14,0.40,0.40,0.80,0.40,0.80,0.29,0.30,0.58,0.29,0.58,Matches
102,Denilson,br BRA,MF,Cuiabá,23-055,2001,3,3,225,2.5,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,1,5,4,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04,Matches
103,Derek,br BRA,FW,Atl Goianiense,26-167,1997,4,1,132,1.5,1,0,1,1,0,0,1,0,1.0,1.0,0.6,1.5,1,5,5,0.68,0.00,0.68,0.68,0.68,0.65,0.38,1.03,0.65,1.03,Matches
104,Deyverson,br BRA,FW,Cuiabá,33-009,1991,1,1,76,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
