Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl_2,Att_2,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
156,Zé Gabriel,br BRA,MF,Vasco da Gama,25-117,1999,0.7,2,1,1,1,0,1,1,100.0,0,1,1,0,0,2,1,0,Matches
157,Pablo Galdames Millán,cl CHI,MF,Vasco da Gama,27-139,1996,4.6,13,9,4,8,1,7,16,43.8,9,9,1,8,4,17,6,0,Matches
158,Giuliano Galoppo,ar ARG,MF,São Paulo,24-334,1999,1.7,3,3,0,3,0,1,3,33.3,2,2,0,2,4,7,0,0,Matches
159,Léo Gamalho,br BRA,FW,Vitória,38-108,1986,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
160,Mateo Gamarra,py PAR,DF,Ath Paranaense,23-210,2000,3.0,4,4,3,1,0,1,3,33.3,2,2,0,2,4,8,17,0,Matches
161,Ganso,br BRA,MF,Fluminense,34-218,1989,4.0,2,2,0,2,0,1,5,20.0,4,5,0,5,2,4,1,0,Matches
162,Luan Garcia,br BRA,DF,Palmeiras,31-007,1993,2.6,2,1,0,2,0,1,2,50.0,1,2,2,0,2,4,5,1,Matches
163,Rodrigo Garro,ar ARG,MF,Corinthians,26-134,1998,5.7,4,4,0,3,1,3,12,25.0,9,7,1,6,7,11,1,0,Matches
164,Pedro Geromel,br BRA,DF,Grêmio,38-239,1985,1.0,0,0,0,0,0,0,0,,0,1,1,0,0,0,8,0,Matches
165,Gerson,br BRA,"FW,MF",Flamengo,26-363,1997,3.0,7,6,3,2,2,3,5,60.0,2,2,0,2,0,7,2,0,Matches
166,Gilberto,br BRA,FW,Juventude,34-347,1989,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
167,Luciano Giménez,ar ARG,FW,Cuiabá,24-089,2000,0.6,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
168,Giovane,br BRA,DF,Corinthians,20-175,2003,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
169,Leonardo Godoy,ar ARG,DF,Ath Paranaense,29-019,1995,4.5,5,3,4,1,0,2,5,40.0,3,3,0,3,3,8,4,0,Matches
170,Bruno Gomes,br BRA,MF,Internacional,23-043,2001,0.6,4,3,1,1,2,0,2,0.0,2,0,0,0,1,5,0,0,Matches
171,Igor Gomes,br BRA,MF,Atlético Mineiro,25-061,1999,2.2,3,2,2,1,0,2,3,66.7,1,1,0,1,3,6,1,0,Matches
172,Igor Gomes,br BRA,DF,Internacional,23-072,2001,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches
173,William Gomes,br BRA,DF,São Paulo,18-063,2006,0.3,1,1,1,0,0,0,2,0.0,2,2,0,2,0,1,0,0,Matches
174,Gustavo Gómez,py PAR,DF,Palmeiras,31-011,1993,5.0,8,5,2,6,0,3,4,75.0,1,5,4,1,3,11,12,0,Matches
175,Mateus Gonçalves Martins,br BRA,"MF,FW",Vitória,29-232,1994,2.3,2,1,0,2,0,0,1,0.0,1,0,0,0,0,2,2,0,Matches
176,Yony González,co COL,"MF,FW",Atl Goianiense,29-311,1994,1.1,0,0,0,0,0,0,0,,0,2,1,1,0,0,3,0,Matches
177,Gregore,br BRA,MF,Botafogo (RJ),30-076,1994,3.2,11,8,4,7,0,5,8,62.5,3,5,1,4,3,14,9,0,Matches
178,Guga,br BRA,DF,Fluminense,25-262,1998,0.6,1,1,1,0,0,1,1,100.0,0,2,1,1,1,2,3,0,Matches
179,Guilherme,br BRA,DF,Red Bull Bragantino,22-093,2002,1.2,1,0,1,0,0,1,2,50.0,1,1,1,0,2,3,7,0,Matches
180,Luis Guilherme,br BRA,"FW,DF",Palmeiras,18-098,2006,1.5,1,1,1,0,0,0,0,,0,0,0,0,0,1,1,0,Matches
