Rk;Player;Nation;Pos;Squad;Age;Born;90s;Gls;Sh;SoT;SoT%;Sh/90;SoT/90;G/Sh;G/SoT;Dist;FK;PK;PKatt;xG;npxG;npxG/Sh;G-xG;np:G-xG;Matches;Curr_Date
113;Kauã Elias;br BRA;MF,FW;Fluminense;18-051;2006;1.0;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matches;2024-05-18
114;Rafael Elias;br BRA;FW;Cruzeiro;25-036;1999;1.1;1;4;2;50.0;3.50;1.75;0.25;0.50;9.6;0;0;0;0.6;0.6;0.14;+0.4;+0.4;Matches;2024-05-18
115;Eliédson;br BRA;MF;Criciúma;21-062;2003;0.0;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matches;2024-05-18
116;Rodrigo Ely;br BRA;DF;Grêmio;30-197;1993;3.0;0;1;0;0.0;0.33;0.00;0.00;;8.9;0;0;0;0.0;0.0;0.02;0.0;0.0;Matches;2024-05-18
117;Alan Empereur;br BRA;DF;Cuiabá;30-069;1994;2.9;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matches;2024-05-18
118;Endrick;br BRA;FW,MF;Palmeiras;17-302;2006;5.0;0;13;2;15.4;2.58;0.40;0.00;0.00;22.8;0;0;0;1.1;1.1;0.08;-1.1;-1.1;Matches;2024-05-18
119;Erick;br BRA;MF;Ath Paranaense;26-186;1997;5.9;1;9;1;11.1;1.52;0.17;0.11;1.00;15.3;0;0;0;1.4;1.4;0.16;-0.4;-0.4;Matches;2024-05-18
120;Erick;br BRA;DF,MF;São Paulo;26-160;1997;1.4;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matches;2024-05-18
121;Erick;br BRA;FW;Juventude;27-136;1997;3.1;1;3;2;66.7;0.98;0.65;0.33;0.50;18.7;0;0;0;0.1;0.1;0.05;+0.9;+0.9;Matches;2024-05-18
122;Lucas Esquivel;ar ARG;DF;Ath Paranaense;22-217;2001;5.7;0;2;0;0.0;0.35;0.00;0.00;;31.1;0;0;0;0.0;0.0;0.02;0.0;0.0;Matches;2024-05-18
123;Estevão;br BRA;FW,DF;Palmeiras;18-024;2006;2.8;1;9;2;22.2;3.20;0.71;0.00;0.00;22.4;1;1;1;1.3;0.5;0.06;-0.3;-0.5;Matches;2024-05-18
124;Lucas Esteves;br BRA;DF;Vitória;23-329;2000;3.4;0;3;1;33.3;0.87;0.29;0.00;0.00;26.4;1;0;0;0.1;0.1;0.04;-0.1;-0.1;Matches;2024-05-18
125;Oscar Estupiñan;co COL;FW;Bahia;27-141;1996;0.6;0;1;0;0.0;1.67;0.00;0.00;;13.0;0;0;0;0.0;0.0;0.04;0.0;0.0;Matches;2024-05-18
126;Lucas Evangelista;br BRA;MF;Red Bull Bragantino;29-012;1995;0.8;0;2;1;50.0;2.47;1.23;0.00;0.00;18.8;0;0;0;0.0;0.0;0.02;0.0;0.0;Matches;2024-05-18
127;Éverson;br BRA;GK;Atlético Mineiro;33-301;1990;5.0;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matches;2024-05-18
128;Everton;br BRA;FW;Grêmio;27-062;1997;0.4;0;1;0;0.0;2.37;0.00;0.00;;28.5;1;0;0;0.0;0.0;0.03;0.0;0.0;Matches;2024-05-18
129;Bruno Fabiano Alves;br BRA;DF;Cuiabá;33-032;1991;2.2;0;3;0;0.0;1.35;0.00;0.00;;16.2;0;0;0;0.1;0.1;0.05;-0.1;-0.1;Matches;2024-05-18
130;Fabinho;br BRA;MF;Palmeiras;22-039;2002;0.4;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matches;2024-05-18
131;Fábio;br BRA;GK;Fluminense;43-231;1980;6.0;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matches;2024-05-18
132;Fábio;br BRA;DF;Grêmio;33-314;1990;2.3;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matches;2024-05-18
133;Fagner;br BRA;DF,MF;Corinthians;34-342;1989;4.3;0;2;1;50.0;0.47;0.23;0.00;0.00;29.7;0;0;0;0.0;0.0;0.02;0.0;0.0;Matches;2024-05-18
134;Rodrigo Fagundes;br BRA;DF;Criciúma;37-069;1987;3.0;0;1;0;0.0;0.33;0.00;0.00;;6.1;0;0;0;0.1;0.1;0.06;-0.1;-0.1;Matches;2024-05-18
