Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl_2,Att_2,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,Curr_Date
126,Lucas Evangelista,br BRA,MF,Red Bull Bragantino,29-012,1995,0.8,1,1,1,0,0,0,3,0.0,3,3,1,2,2,3,0,0,Matches,18-05-2024
127,Éverson,br BRA,GK,Atlético Mineiro,33-301,1990,5.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches,18-05-2024
128,Everton,br BRA,FW,Grêmio,27-062,1997,0.4,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,Matches,18-05-2024
129,Bruno Fabiano Alves,br BRA,DF,Cuiabá,33-032,1991,2.2,2,2,1,1,0,2,4,50.0,2,3,2,1,3,5,7,0,Matches,18-05-2024
130,Fabinho,br BRA,MF,Palmeiras,22-039,2002,0.4,1,1,0,1,0,0,0,,0,3,2,1,0,1,0,0,Matches,18-05-2024
131,Fábio,br BRA,GK,Fluminense,43-231,1980,6.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,2,Matches,18-05-2024
132,Fábio,br BRA,DF,Grêmio,33-314,1990,2.3,1,1,1,0,0,1,2,50.0,1,1,0,1,1,2,7,0,Matches,18-05-2024
133,Fagner,br BRA,"DF,MF",Corinthians,34-342,1989,4.3,7,3,2,3,2,4,9,44.4,5,2,1,1,3,10,6,0,Matches,18-05-2024
134,Rodrigo Fagundes,br BRA,DF,Criciúma,37-069,1987,3.0,4,3,3,1,0,4,4,100.0,0,5,3,2,4,8,23,0,Matches,18-05-2024
135,Luiz Felipe,br BRA,"DF,MF",Atl Goianiense,30-252,1993,2.1,0,0,0,0,0,0,0,,0,2,1,1,4,4,5,0,Matches,18-05-2024
136,Marcos Felipe,br BRA,GK,Bahia,28-035,1996,6.0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,3,0,Matches,18-05-2024
137,Lucas Fernandes,br BRA,MF,Cuiabá,26-241,1997,1.5,2,2,1,1,0,0,1,0.0,1,2,0,2,1,3,0,0,Matches,18-05-2024
138,Matheus Fernandes,br BRA,MF,Red Bull Bragantino,25-323,1998,0.4,1,1,0,1,0,1,1,100.0,0,2,0,2,1,2,0,0,Matches,18-05-2024
139,Nathan Fernandes,br BRA,"FW,MF",Grêmio,19-092,2005,1.3,2,2,0,2,0,0,2,0.0,2,0,0,0,2,4,2,0,Matches,18-05-2024
140,Gatito Fernández,py PAR,GK,Botafogo (RJ),36-050,1988,3.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,Matches,18-05-2024
141,Fernandinho,br BRA,MF,Ath Paranaense,39-014,1985,5.7,5,5,5,0,0,4,4,100.0,0,2,0,2,4,9,6,0,Matches,18-05-2024
142,Fernando,br BRA,DF,Ath Paranaense,24-247,1999,0.2,2,2,2,0,0,2,2,100.0,0,0,0,0,0,2,1,0,Matches,18-05-2024
143,Fernando,br BRA,"MF,DF",Internacional,36-298,1987,1.1,3,3,2,1,0,2,2,100.0,0,2,0,2,1,4,1,0,Matches,18-05-2024
144,Luiz Fernando,br BRA,"FW,MF",Atl Goianiense,27-215,1996,4.9,5,4,2,2,1,1,5,20.0,4,7,4,3,4,9,7,0,Matches,18-05-2024
145,Nahuel Ferraresi,ve VEN,DF,São Paulo,25-181,1998,1.8,3,3,2,0,1,2,6,33.3,4,4,1,3,3,6,3,0,Matches,18-05-2024
146,Ferreira,br BRA,"MF,FW",São Paulo,26-139,1997,1.2,1,1,0,1,0,0,0,,0,1,0,1,0,1,0,0,Matches,18-05-2024
147,Filipinho,br BRA,"MF,FW",Ath Paranaense,22-213,2001,0.6,4,2,0,1,3,2,3,66.7,1,2,0,2,0,4,1,0,Matches,18-05-2024
148,Alan Franco,ec ECU,MF,Atlético Mineiro,25-271,1998,4.0,10,6,4,5,1,4,5,80.0,1,2,0,2,5,15,2,0,Matches,18-05-2024
149,Alan Franco,ar ARG,DF,São Paulo,27-220,1996,3.5,9,6,5,4,0,3,6,50.0,3,2,1,1,1,10,9,1,Matches,18-05-2024
150,Lucas Freitas,br BRA,DF,Juventude,23-119,2001,0.4,1,1,0,1,0,0,0,,0,1,1,0,1,2,2,0,Matches,18-05-2024
151,Marlon Freitas,br BRA,MF,Botafogo (RJ),29-052,1995,3.5,7,6,3,4,0,5,7,71.4,2,10,5,5,5,12,6,0,Matches,18-05-2024
152,Bruno Fuchs,br BRA,DF,Atlético Mineiro,25-047,1999,0.9,2,2,2,0,0,0,0,,0,1,0,1,0,2,1,0,Matches,18-05-2024
153,Gabriel,br BRA,DF,Bahia,23-012,2001,5.0,9,7,4,5,0,4,5,80.0,1,5,4,1,8,17,34,0,Matches,18-05-2024
154,Gabriel,br BRA,GK,Juventude,31-234,1992,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches,18-05-2024
